Site,Target URL,Opportunity Type,Prospect Name,Prospect URL,Contact Name,Contact Email,Contact Form URL,Phone,Relevance Score,Authority Score,Difficulty,Estimated Value,Suggested Angle,Outreach Status,Last Contacted,Follow-Up Date,Notes,Evidence URL
SGD,https://www.smartestgaragedoors.com/commercial-garage-door-repair/,trade-directory,ThomasNet,https://www.thomasnet.com/,,,https://business.thomasnet.com/programs,,5,4,2,high,Claim free supplier listing under Overhead Doors + Dock Equipment categories (competitors listed),new,,,Free tier exists; competitors Overhead Door Co Meadowlands + LoadingDock.com hold indexed listings,https://www.thomasnet.com/suppliers/northern-new-jersey/all-cities/overhead-doors-23770407
SGD,https://www.smartestgaragedoors.com/,association,International Door Association (IDA),https://doors.org/,,,https://doors.org/,,5,4,2,high,Membership includes member directory listing + commercial dealer recognition lists,new,,,Paid membership - owner approval for spend,https://doors.org/
SGD,https://www.smartestgaragedoors.com/property-managers/,association,BOMA New York,https://www.bomany.org/,,,https://www.bomany.org/,,5,4,3,high,Allied member vendor directory reaches property managers directly,new,,,Membership-gated; costly but exactly the commercial target audience,https://www.bomany.org/
SGD,https://www.smartestgaragedoors.com/property-managers/,association,IREM New York chapters,https://www.irem.org/,,,https://www.irem.org/join,,5,3,3,high,Chapter vendor/industry-partner listing for property managers,new,,,Verify NY chapter vendor program details first,https://www.irem.org/
SGD,https://www.smartestgaragedoors.com/,chamber,Queens Chamber of Commerce,https://queenschamber.org/,,,https://queenschamber.org/,,4,3,2,medium,Membership + member directory listing + local business events,new,,,Paid membership - owner approval,https://queenschamber.org/
SGD,https://www.smartestgaragedoors.com/brooklyn-ny/,chamber,Brooklyn Chamber of Commerce,https://www.brooklynchamber.com/,,,https://www.brooklynchamber.com/,,4,3,2,medium,Membership + directory,new,,,Paid - owner approval,https://www.brooklynchamber.com/
SGD,https://www.smartestgaragedoors.com/westchester-county-ny/,chamber,Business Council of Westchester,https://thebcw.org/,,,https://thebcw.org/,,4,3,2,medium,Membership + directory covering White Plains/New Rochelle target area,new,,,Paid - owner approval,https://thebcw.org/
SGD,https://www.smartestgaragedoors.com/,dealer-locator,LiftMaster dealer locator,https://www.liftmaster.com/where-to-buy,,,,,5,5,3,high,Authorized-dealer locator listing IF dealer status exists,blocked-on-owner,,,TODO(owner): confirm actual LiftMaster dealer/authorized status before pursuing,https://www.liftmaster.com/where-to-buy
SGD,https://www.smartestgaragedoors.com/,dealer-locator,Clopay dealer locator,https://www.clopaydoor.com/dealer-locator,,,,,5,5,3,high,Dealer locator IF relationship exists,blocked-on-owner,,,TODO(owner): confirm Clopay relationship,https://www.clopaydoor.com/dealer-locator
SGD,https://www.smartestgaragedoors.com/commercial-maintenance-contracts/,procurement-platform,Avetta,https://www.avetta.com/,,,https://www.avetta.com/,,4,4,4,high,Contractor safety pre-qualification - required by large industrial/logistics clients; competitor Allmark displays it,new,,,Slow + paid; start early per page-1 plan; owner approval,https://allmarkdoors.com/
SGD,https://www.smartestgaragedoors.com/commercial-maintenance-contracts/,procurement-platform,ISNetworld,https://www.isnetworld.com/,,,,,4,4,4,high,Same procurement-qualification play as Avetta,new,,,Paid; owner approval,https://allmarkdoors.com/
SGD,https://www.smartestgaragedoors.com/,citation,Bing Places,https://www.bingplaces.com/,,,,,4,4,1,medium,Claim + GBP import,new,,,Owner account needed,https://www.bingplaces.com/
SGD,https://www.smartestgaragedoors.com/,citation,Apple Business Connect,https://businessconnect.apple.com/,,,,,4,4,1,medium,Claim listing for Apple Maps,new,,,Owner Apple ID needed,https://businessconnect.apple.com/
SGD,https://www.smartestgaragedoors.com/,citation,Yelp for Business,https://business.yelp.com/,,,,,4,4,1,medium,Claim/complete listing; do not buy ads,new,,,Check for unclaimed auto-listing first,https://business.yelp.com/
SGD,https://www.smartestgaragedoors.com/,citation,Angi,https://www.angi.com/,,,,,3,3,1,low,Free listing claim,new,,,Free tier only unless owner wants leads program,https://www.angi.com/
SGD,https://www.smartestgaragedoors.com/,citation,Nextdoor Business,https://business.nextdoor.com/,,,,,4,3,1,medium,Neighborhood presence in Queens/Westchester,new,,,Owner account,https://business.nextdoor.com/
SGD,https://www.smartestgaragedoors.com/blog/,expert-quotes,Connectively (ex-HARO) / Help a B2B Writer,https://connectively.us/,,,,,4,4,3,medium,Owner as garage-door/home-safety expert source for reporter queries,new,,,Ongoing lane; AI monitors queries + drafts responses; owner sends,https://connectively.us/
SGD,https://www.smartestgaragedoors.com/queens-ny/,local-press,Patch (Queens + Westchester editions),https://patch.com/newyork/queens,,,https://patch.com/newyork/queens,,4,3,2,medium,Local business features + seasonal safety stories; Patch accepts local contributions,new,,,Per-edition contacts; winter-prep angle Oct-Nov,https://patch.com/newyork/queens
SGD,https://www.smartestgaragedoors.com/,local-press,QNS.com,https://qns.com/,,,https://qns.com/contact-us/,,4,3,3,medium,Queens small-business story / home safety expert,new,,,,https://qns.com/
ZE,https://zackandelle.com/,review-platform,Trustpilot,https://business.trustpilot.com/,,,,,5,5,2,high,Stand up review collection - the #1 verified authority gap vs Grown Brilliance/Frank Darling,new,,,Free tier exists; owner account; prerequisite for editorial pitches,https://www.trustpilot.com/review/grownbrilliance.com
ZE,https://zackandelle.com/,industry-directory,Jewelers Board of Trade,https://www.jewelersboard.com/membership/listing-benefits,,,,,4,4,1,medium,FREE industry directory listing - trust signal,new,,,Verified free for jewelry businesses,https://www.jewelersboard.com/industry-directory
ZE,https://zackandelle.com/,certifier-locator,IGI Store Locator,https://www.igi.org/store-locator/,,,https://www.igi.org/services/retail-support/,,5,5,2,high,Entire catalog is IGI-certified - certified-retailer locator listing,new,,,Via IGI retail support program,https://www.igi.org/store-locator/
ZE,https://zackandelle.com/,association,Jewelers of America,https://www.jewelers.org/about/join-ja,,,,,4,4,2,high,Membership includes consumer Find-a-Jeweler directory profile,new,,,Paid membership - owner approval,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler
ZE,https://zackandelle.com/pages/about-zack-and-elle,local-org,47th Street BID / Diamond District Partnership,https://diamonddistrict.org/about-us,,,,,5,4,2,high,BID explicitly offers marketing assistance + publicity to 47th St merchants; showroom at 62 W 47th qualifies,new,,,Merchant listing + press support - very on-brand,https://diamonddistrict.org/about-us
ZE,https://zackandelle.com/collections/engagement-rings,editorial-roundup,The Knot - lab-grown ring roundup,https://www.theknot.com/content/lab-grown-diamond-rings,,,,,5,5,4,high,Pitch for inclusion in editor-tested lab-grown brand roundup,blocked-on-asset,,,Needs review platform + founder story upgrades first,https://www.theknot.com/content/lab-grown-diamond-rings
ZE,https://zackandelle.com/,editorial-roundup,The Good Trade lab-grown brands list,https://www.thegoodtrade.com/features/lab-grown-diamond-rings/,,,,,4,4,3,high,Sustainability-angle brand list; accepts brand pitches,new,,,,https://www.thegoodtrade.com/features/lab-grown-diamond-rings/
ZE,https://zackandelle.com/,editorial-review,Forbes Personal Shopper,https://www.forbes.com/sites/forbes-personal-shopper/article/best-lab-grown-diamonds/,,,,,4,5,5,high,Best-brands list + they publish single-brand reviews (did Grown Brilliance),blocked-on-asset,,,Hardest target; needs reviews + story first,https://www.forbes.com/sites/forbes-personal-shopper/article/best-lab-grown-diamonds/
ZE,https://zackandelle.com/,editorial-roundup,The Zoe Report,https://www.thezoereport.com/fashion/lab-grown-diamond-brands,,,,,4,4,4,medium,Fashion-editorial lab-grown roundup,new,,,,https://www.thezoereport.com/fashion/lab-grown-diamond-brands
ZE,https://zackandelle.com/,retailer-review,LabGrownCarats.com,https://labgrowncarats.com/,,,,,5,3,2,high,They publish named retailer reviews (did Grown Brilliance/Brilliance.com) - request a Zack & Elle review,new,,,Dedicated review page + link,https://labgrowncarats.com/
ZE,https://zackandelle.com/,retailer-review,LabDiamondsReviews.com,https://labdiamondsreviews.com/retailer-reviews/,,,,,5,3,2,high,Retailer-review directory - same play,new,,,,https://labdiamondsreviews.com/retailer-reviews/
ZE,https://zackandelle.com/,retailer-review,Ringspo,https://www.ringspo.com/reviews/,,,,,4,3,3,medium,Independent ring-buying advice site with retailer reviews,new,,,,https://www.ringspo.com/reviews/
ZE,https://zackandelle.com/,marketplace-partner,StoneAlgo,https://www.stonealgo.com/lab-grown-diamonds/,,,,,4,4,3,medium,Diamond marketplace/price-index partner-jeweler program,new,,,Partnership terms unknown - investigate,https://www.stonealgo.com/lab-grown-diamonds/
ZE,https://zackandelle.com/,wedding-directory,The Knot vendor listing,https://www.theknot.com/vendors/home,,,,1-833-997-0902,4,4,2,medium,Jeweler category storefront; free basic limited; paid ~$125-150+/mo 12-mo contracts,new,,,PAID - owner decision; log as sponsored,https://pros.weddingpro.com/our-products/storefront/
ZE,https://zackandelle.com/,trade-press,National Jeweler,https://nationaljeweler.com/,,,,,4,4,4,medium,Brand-news pitch (Diamond District family brand goes lab-grown),new,,,,https://nationaljeweler.com/
TROJAN,https://trojanbook.com/,author-entity,Amazon Author Central,https://author.amazon.com/,,,,,5,5,1,high,Author page for James Lee IF KDP listing is live,blocked-on-owner,,,TODO(owner): confirm Amazon listing live + pen-name policy,https://author.amazon.com/
TROJAN,https://trojanbook.com/,author-entity,Goodreads author + book profile,https://www.goodreads.com/author/program,,,,,5,4,2,high,Book + author profile; links + review infrastructure,blocked-on-owner,,,Needs pen-name policy answer,https://www.goodreads.com/author/program
TROJAN,https://trojanbook.com/,book-review,Reedsy Discovery,https://reedsy.com/discovery,,,,,4,3,2,medium,Indie review platform submission,new,,,Small fee; disclosed,https://reedsy.com/discovery
TROJAN,https://trojanbook.com/,book-review,IndieReader,https://indiereader.com/,,,,,4,3,2,medium,Paid indie review (disclosed as paid review - allowed),new,,,Owner approval for spend,https://indiereader.com/
TROJAN,https://trojanbook.com/,book-review,Kirkus Indie,https://www.kirkusreviews.com/indie-reviews/,,,,,3,5,3,medium,Paid editorial review; prestige citation,new,,,Expensive (~$425+); owner call,https://www.kirkusreviews.com/indie-reviews/
TROJAN,https://trojanbook.com/,podcast,Psychology/self-development podcast circuit,,,,,,5,3,4,high,Guest interviews on influence/persuasion shows,blocked-on-owner,,,GATED on pen-name audio policy; build target list once answered,
