source,destination,type,permanent
/(.*),https://www.smartestgaragedoors.com/[path],host-canonicalization (www/domain),301
/go/:slug,/go/:slug/,tracking-link-slash,301
/lp/:path,/lp/:path/,tracking-link-slash,301
/:path((?!.*\.).*[^/]),/:path/,legacy-url-cleanup,301
/(.*),https://www.smartestgaragedoors.com/,host-canonicalization (www/domain),301
/flushing-ny,/queens-ny/,legacy-url-cleanup,301
/flushing-ny/,/queens-ny/,legacy-url-cleanup,301
/home,/,homepage-variant,301
/home/,/,homepage-variant,301
/garage-door-replacement,/garage-door-installation/,legacy-url-cleanup,301
/garage-door-replacement/,/garage-door-installation/,legacy-url-cleanup,301
/garage-door-repair-brooklyn-ny/,/brooklyn-ny/,legacy-url-cleanup,301
/garage-door-repair-stamford-ct/,/stamford-ct/,legacy-url-cleanup,301
/garage-door-installers-white-plains-ny/,/white-plains-ny/,legacy-url-cleanup,301
/garage-door-installation-suffern-ny,/suffern-ny/,legacy-url-cleanup,301
/garage-door-installation-suffern-ny/,/suffern-ny/,legacy-url-cleanup,301
/(.*),https://www.smartestgaragedoors.com/[path],host-canonicalization (www/domain),301
/garage-door-repair-darien-ct,/darien-ct/,legacy-url-cleanup,301
/garage-door-repair-darien-ct/,/darien-ct/,legacy-url-cleanup,301
/garage-door-repair-white-plains-ny,/white-plains-ny/,legacy-url-cleanup,301
/garage-door-repair-white-plains-ny/,/white-plains-ny/,legacy-url-cleanup,301
/garage-door-repair-suffolk-county-ny,/suffolk-county-ny/,legacy-url-cleanup,301
/garage-door-repair-suffolk-county-ny/,/suffolk-county-ny/,legacy-url-cleanup,301
/garage-door-repair-nassau-county-ny,/nassau-county-ny/,legacy-url-cleanup,301
/garage-door-repair-nassau-county-ny/,/nassau-county-ny/,legacy-url-cleanup,301
/garage-door-repair-westchester-county-ny,/westchester-county-ny/,legacy-url-cleanup,301
/garage-door-repair-westchester-county-ny/,/westchester-county-ny/,legacy-url-cleanup,301
/install-garage-door-opener-stamford-ct,/stamford-ct/,legacy-url-cleanup,301
/install-garage-door-opener-stamford-ct/,/stamford-ct/,legacy-url-cleanup,301
/service-areas/brooklyn-ny,/brooklyn-ny/,old-service-areas-path,301
/service-areas/brooklyn-ny/,/brooklyn-ny/,old-service-areas-path,301
/service-areas/newtown-ct,/newtown-ct/,old-service-areas-path,301
/service-areas/newtown-ct/,/newtown-ct/,old-service-areas-path,301
/service-areas/new-canaan-ct,/new-canaan-ct/,old-service-areas-path,301
/service-areas/new-canaan-ct/,/new-canaan-ct/,old-service-areas-path,301
/how-to-repair-dented-garage-door,/garage-door-repair/,legacy-url-cleanup,301
/how-to-repair-dented-garage-door/,/garage-door-repair/,legacy-url-cleanup,301
/garage-door-roller-repair-prevention,/cable-roller-repair/,legacy-url-cleanup,301
/garage-door-roller-repair-prevention/,/cable-roller-repair/,legacy-url-cleanup,301
/how-to-repair-garage-door-opener,/opener-repair-installation/,legacy-url-cleanup,301
/how-to-repair-garage-door-opener/,/opener-repair-installation/,legacy-url-cleanup,301
/blog/modern-glass-garage-door-install-queens-b77j/,/blog/modern-glass-garage-door-install-queens/,legacy-url-cleanup,301
/blog/modern-glass-garage-door-install-queens-b77j,/blog/modern-glass-garage-door-install-queens/,legacy-url-cleanup,301
/garage-door-sensor-repair-easy-guide,/garage-door-repair/,legacy-url-cleanup,301
/garage-door-sensor-repair-easy-guide/,/garage-door-repair/,legacy-url-cleanup,301
/garage-door-installation-new-york,/garage-door-installation/,legacy-url-cleanup,301
/garage-door-installation-new-york/,/garage-door-installation/,legacy-url-cleanup,301
/garage-door-shifts-to-left-when-it-opens,/garage-door-repair/,legacy-url-cleanup,301
/garage-door-shifts-to-left-when-it-opens/,/garage-door-repair/,legacy-url-cleanup,301
/install-new-garage-door-opener,/opener-repair-installation/,legacy-url-cleanup,301
/install-new-garage-door-opener/,/opener-repair-installation/,legacy-url-cleanup,301
/sliding-garage-doors-maintenance-tips,/maintenance/,legacy-url-cleanup,301
/sliding-garage-doors-maintenance-tips/,/maintenance/,legacy-url-cleanup,301
/choose-right-commercial-garage-door-opener,/opener-repair-installation/,legacy-url-cleanup,301
/choose-right-commercial-garage-door-opener/,/opener-repair-installation/,legacy-url-cleanup,301
/types-of-garage-doors,/garage-door-installation/,legacy-url-cleanup,301
/types-of-garage-doors/,/garage-door-installation/,legacy-url-cleanup,301
/garage-door-installation-stamford-ct,/stamford-ct/,legacy-url-cleanup,301
/garage-door-installation-stamford-ct/,/stamford-ct/,legacy-url-cleanup,301
/greatneck-ny,/great-neck-ny/,legacy-url-cleanup,301
/greatneck-ny/,/great-neck-ny/,legacy-url-cleanup,301
/greatneck,/great-neck-ny/,legacy-url-cleanup,301
/greatneck/,/great-neck-ny/,legacy-url-cleanup,301
/garage-door-repair-greenwich-ct,/greenwich-ct/,legacy-url-cleanup,301
/garage-door-repair-greenwich-ct/,/greenwich-ct/,legacy-url-cleanup,301
/garage-door-bottom-seal-replacement,/garage-door-repair/,legacy-url-cleanup,301
/garage-door-bottom-seal-replacement/,/garage-door-repair/,legacy-url-cleanup,301